latitude,longitude,same_month_top_rank,same_month_brand,month_%_value
26.172008,-81.800831,1,Walmart,49
26.172008,-81.800831,2,McDonald's,46
26.172008,-81.800831,3,Shell Oil,40
30.08864,-95.521543,1,Chick-fil-A,69
30.08864,-95.521543,2,Walmart,62
38.899964,-76.791647,1,McDonald's,71
38.899964,-76.791647,2,Walmart,51
38.899964,-76.791647,3,Chick-fil-A,44
41.368865,-72.918355,1,Dunkin',57
41.368865,-72.918355,2,McDonald's,53
41.368865,-72.918355,3,Walmart,45
41.850685,-87.802817,1,McDonald's,65
41.850685,-87.802817,2,Walmart,53
41.850685,-87.802817,3,Walgreens,46
41.850685,-87.802817,4,Target,43
41.850685,-87.802817,1,McDonald's,56
41.850685,-87.802817,2,Walmart,44
41.850685,-87.802817,3,Walgreens,42
41.850685,-87.802817,4,Target,41
40.764625,-73.306642,2,McDonald's,50
40.764625,-73.306642,3,Target,47
40.764625,-73.306642,4,Starbucks,44
41.548496,-83.600682,1,McDonald's,69
41.548496,-83.600682,2,Walmart,51
41.548496,-83.600682,3,Chick-fil-A,45
42.719633,-87.849246,1,McDonald's,62
42.719633,-87.849246,3,Walgreens,55
42.719633,-87.849246,4,Walmart,53
40.687129,-74.315764,1,Dunkin',45
40.687129,-74.315764,3,Target,35
40.687129,-74.315764,4,McDonald's,35
39.281382,-76.579907,1,McDonald's,43
39.281382,-76.579907,3,Walmart,33
39.281382,-76.579907,4,Chick-fil-A,31
38.897715,-77.006886,1,Walmart,35
42.104761,-87.814236,1,Starbucks,77
42.104761,-87.814236,2,Target,60
42.104761,-87.814236,3,McDonald's,60
42.104761,-87.814236,4,Walgreens,50
28.003619,-81.717527,1,Walmart,69
28.003619,-81.717527,2,McDonald's,65
28.003619,-81.717527,3,Chick-fil-A,43
28.003619,-81.717527,4,Publix Super Markets,42
45.532968,-122.935123,1,Starbucks,52
45.532968,-122.935123,2,McDonald's,44
45.532968,-122.935123,4,Target,34
38.798516,-97.612166,1,Walmart,66
38.798516,-97.612166,2,McDonald's,47
28.095835,-81.974729,1,Walmart,64
28.095835,-81.974729,2,McDonald's,58
28.095835,-81.974729,3,Chick-fil-A,53
28.095835,-81.974729,4,Publix Super Markets,41
45.43777,-122.829271,1,Starbucks,58
45.43777,-122.829271,2,Walmart,50
45.43777,-122.829271,3,McDonald's,49
42.16716,-87.844253,1,Starbucks,62
42.16716,-87.844253,3,McDonald's,50
26.838781,-80.10891,1,Publix Super Markets,46
26.838781,-80.10891,2,McDonald's,40
26.838781,-80.10891,3,Starbucks,39
26.838781,-80.10891,4,Chick-fil-A,33
40.741741,-73.993372,1,Starbucks,36
40.741741,-73.993372,2,Dunkin',36
27.960161,-82.505023,1,Walmart,65
27.960161,-82.505023,2,McDonald's,52
27.960161,-82.505023,3,Starbucks,36
41.148133,-81.507612,1,McDonald's,50
41.148133,-81.507612,2,Walmart,41
41.148133,-81.507612,3,Starbucks,38
41.720002,-87.776479,1,McDonald's,59
41.720002,-87.776479,2,Walgreens,54
41.720002,-87.776479,3,Walmart,53
41.720002,-87.776479,4,Target,48
40.632769,-74.305092,1,Dunkin',67
40.632769,-74.305092,2,Walmart,42
40.632769,-74.305092,4,McDonald's,40
40.906878,-74.553278,2,Walmart,54
40.906878,-74.553278,3,Dunkin',50
40.906878,-74.553278,4,Target,41
35.586707,-82.58743,1,McDonald's,52
35.586707,-82.58743,2,Shell Oil,49
35.586707,-82.58743,3,Walmart,48
41.66228,-81.240635,1,McDonald's,56
41.66228,-81.240635,2,Walmart,49
41.66228,-81.240635,3,Chick-fil-A,39
42.26449,-88.980621,1,McDonald's,60
42.26449,-88.980621,2,Walmart,56
42.26449,-88.980621,3,Target,37
28.078442,-80.647515,1,Walmart,69
28.078442,-80.647515,2,McDonald's,62
36.126472,-97.053388,1,Walmart,83
36.126472,-97.053388,2,Chick-fil-A,51
36.126472,-97.053388,3,McDonald's,51
25.589608,-80.358702,1,McDonald's,62
25.589608,-80.358702,2,Shell Oil,48
25.589608,-80.358702,3,Starbucks,42
25.589608,-80.358702,4,Walmart,42
40.734249,-73.98883,1,Starbucks,36
