latitude,longitude,same_day_top_rank,same_day_brand,day_%_value
26.172008,-81.800831,1,McDonald's,7
26.172008,-81.800831,2,Shell Oil,7
26.172008,-81.800831,3,Walgreens,5
26.172008,-81.800831,4,Walmart,5
30.08864,-95.521543,1,Target,8
30.08864,-95.521543,2,Chick-fil-A,7
30.08864,-95.521543,4,Walmart,5
38.899964,-76.791647,2,McDonald's,10
41.368865,-72.918355,1,Walmart,8
41.368865,-72.918355,2,Dunkin',7
41.368865,-72.918355,3,McDonald's,6
41.850685,-87.802817,1,McDonald's,9
41.850685,-87.802817,3,Shell Oil,6
41.850685,-87.802817,4,Walgreens,5
41.850685,-87.802817,1,McDonald's,8
41.850685,-87.802817,2,Starbucks,5
41.850685,-87.802817,3,Target,5
41.548496,-83.600682,1,McDonald's,12
41.548496,-83.600682,4,Chick-fil-A,6
42.719633,-87.849246,1,McDonald's,9
40.687129,-74.315764,1,Dunkin',7
40.687129,-74.315764,2,Walmart,5
40.687129,-74.315764,3,Chick-fil-A,5
40.687129,-74.315764,4,Target,4
39.281382,-76.579907,4,Target,3
38.897715,-77.006886,3,Dunkin',10
42.104761,-87.814236,1,Target,10
42.104761,-87.814236,2,Starbucks,7
42.104761,-87.814236,3,Dunkin',6
28.003619,-81.717527,1,Walmart,13
28.003619,-81.717527,2,McDonald's,10
28.003619,-81.717527,3,Chick-fil-A,6
45.532968,-122.935123,1,Starbucks,8
45.532968,-122.935123,3,McDonald's,5
38.798516,-97.612166,1,Walmart,14
38.798516,-97.612166,3,Target,6
28.095835,-81.974729,1,Chick-fil-A,9
28.095835,-81.974729,2,Walmart,9
28.095835,-81.974729,3,McDonald's,8
28.095835,-81.974729,4,Wawa,5
45.43777,-122.829271,1,Starbucks,7
45.43777,-122.829271,2,Walmart,6
42.16716,-87.844253,1,Starbucks,10
42.16716,-87.844253,2,McDonald's,6
26.838781,-80.10891,2,Starbucks,3
26.838781,-80.10891,3,Shell Oil,3
26.838781,-80.10891,4,7-Eleven,3
40.741741,-73.993372,1,Dunkin',6
40.741741,-73.993372,2,Starbucks,4
40.741741,-73.993372,3,McDonald's,3
27.960161,-82.505023,1,Walmart,11
27.960161,-82.505023,2,McDonald's,6
27.960161,-82.505023,3,Wawa,5
27.960161,-82.505023,4,Shell Oil,4
41.148133,-81.507612,1,Walmart,4
41.148133,-81.507612,3,McDonald's,4
